Index;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;WHH;WHD;WHA;VCH;VCD;VCA;Temporada
37;2005-09-21;Sociedad;Ath Madrid;3;2;H;0;2;A;21;14;9;6;16;25;7;4;2;3;0;0;2.37;3.2;2.8;2.7;3.0;2.5;2.5;3.0;2.5;2.25;3.2;2.75;2.4;3.2;2.65;2006
38;2005-09-21;Villarreal;Celta;1;2;A;0;1;A;14;11;4;5;17;16;3;5;1;2;0;0;1.66;3.6;5.0;1.7;3.3;4.75;1.75;3.2;4.0;1.66;3.3;4.5;1.65;3.25;5.0;2006
39;2005-09-21;Zaragoza;Osasuna;3;1;H;0;0;D;22;6;11;3;20;17;3;1;2;3;0;0;1.8;3.25;4.33;1.8;3.2;4.25;1.9;3.1;3.5;1.72;3.25;4.2;1.85;3.2;3.75;2006
40;2005-09-22;Real Madrid;Ath Bilbao;3;1;H;0;1;A;16;21;9;5;19;20;6;4;1;5;1;0;1.44;4.0;7.5;1.4;4.0;7.5;1.5;3.7;5.0;1.4;3.75;7.0;1.4;3.75;7.0;2006
41;2005-09-24;Ath Madrid;Getafe;0;1;A;0;0;D;12;12;4;4;21;27;8;2;3;4;0;1;1.66;3.4;5.5;1.65;3.35;5.0;1.75;3.2;4.0;1.61;3.3;5.0;1.7;3.25;4.5;2006
42;2005-09-24;Betis;Barcelona;1;4;A;1;1;D;9;23;5;10;19;17;1;7;4;2;1;0;3.4;3.25;2.1;3.65;3.15;1.95;3.1;3.0;2.1;3.0;3.2;2.1;3.25;3.2;2.0;2006
43;2005-09-24;Espanol;Villarreal;1;2;A;0;1;A;9;13;3;4;9;12;8;3;1;1;0;0;2.3;3.2;3.0;2.4;3.0;2.85;2.3;3.0;2.7;2.25;3.2;2.75;2.1;3.2;3.0;2006
44;2005-09-24;Valencia;Sociedad;2;1;H;1;0;H;11;11;8;4;20;12;5;8;2;1;0;0;1.5;3.75;7.0;1.55;3.5;5.85;1.55;3.5;4.8;1.44;3.5;7.0;1.5;3.5;6.5;2006
45;2005-09-24;Zaragoza;La Coruna;1;1;D;1;1;D;15;16;7;5;22;15;8;7;2;1;0;0;2.4;3.25;2.8;2.35;3.05;2.9;2.4;3.0;2.6;2.3;3.2;2.62;2.4;3.2;2.6;2006
46;2005-09-25;Alaves;Real Madrid;0;3;A;0;0;D;17;20;6;7;17;24;7;10;1;3;0;0;6.0;3.4;1.61;6.0;3.45;1.55;4.4;3.3;1.65;5.0;3.3;1.61;4.5;3.4;1.65;2006
47;2005-09-25;Ath Bilbao;Santander;0;0;D;0;0;D;17;5;3;1;16;29;17;5;3;6;0;0;1.72;3.3;5.0;1.65;3.35;5.0;1.75;3.2;4.0;1.7;3.3;4.33;1.75;3.4;4.0;2006
48;2005-09-25;Celta;Sevilla;2;1;H;2;0;H;12;9;5;3;22;24;4;6;2;5;0;0;2.2;3.2;3.25;2.4;3.0;2.85;2.2;3.0;2.9;2.25;3.1;2.8;2.1;3.2;3.0;2006
49;2005-09-25;Mallorca;Malaga;1;4;A;0;2;A;14;9;7;5;24;22;8;2;0;1;0;0;2.1;3.25;3.4;2.2;3.2;3.0;2.0;3.1;3.2;2.0;3.2;3.2;2.1;3.2;3.0;2006
50;2005-09-25;Osasuna;Cadiz;2;0;H;1;0;H;19;3;7;0;27;13;5;5;4;2;0;0;1.9;3.25;4.0;1.8;3.25;4.15;1.8;3.1;3.8;1.8;3.25;3.8;1.85;3.2;3.75;2006
51;2005-10-01;Barcelona;Zaragoza;2;2;D;0;0;D;22;7;7;3;16;23;1;2;4;3;0;1;1.33;4.5;9.5;1.25;5.0;9.75;1.3;4.2;8.0;1.33;4.0;8.0;1.3;4.35;8.5;2006
52;2005-10-01;Getafe;Valencia;2;1;H;1;1;D;12;9;6;2;25;24;2;0;1;4;0;1;2.6;3.2;2.62;2.6;3.0;2.6;2.7;3.0;2.5;2.62;3.1;2.37;2.6;3.2;2.4;2006
53;2005-10-02;Cadiz;Celta;1;1;D;1;1;D;11;8;6;5;26;18;3;3;2;4;0;0;2.5;3.2;2.75;2.5;3.15;2.6;2.5;3.0;2.5;2.4;3.1;2.6;2.5;3.1;2.5;2006
54;2005-10-02;La Coruna;Osasuna;0;1;A;0;1;A;12;7;1;4;24;25;2;5;1;3;0;0;1.66;3.4;5.5;1.6;3.6;5.0;1.6;3.4;4.6;1.66;3.3;4.5;1.55;3.5;5.0;2006
55;2005-10-02;Malaga;Ath Madrid;0;2;A;0;1;A;7;14;2;7;19;20;4;6;3;4;0;0;2.4;3.25;2.8;2.5;3.0;2.7;2.5;3.0;2.7;2.25;3.2;2.75;2.1;3.2;3.0;2006
56;2005-10-02;Real Madrid;Mallorca;4;0;H;2;0;H;16;11;8;3;17;18;9;5;0;2;0;1;1.25;5.0;13.0;1.2;5.5;11.5;1.25;4.5;9.0;1.2;5.0;11.0;1.22;5.0;10.0;2006
57;2005-10-02;Santander;Alaves;1;2;A;0;1;A;9;9;4;3;26;9;6;2;3;1;0;0;1.9;3.25;4.0;1.95;3.15;3.65;1.85;3.1;3.6;1.83;3.2;3.75;1.84;3.25;3.75;2006
58;2005-10-02;Sevilla;Espanol;1;1;D;0;1;A;12;8;3;3;13;11;9;2;3;1;0;0;1.9;3.25;4.0;1.9;3.2;3.8;1.9;3.1;3.5;1.8;3.3;3.75;1.8;3.25;4.0;2006
59;2005-10-02;Sociedad;Betis;1;1;D;0;1;A;16;11;5;3;14;25;4;5;2;2;0;0;2.5;3.2;2.75;2.45;3.0;2.8;2.3;3.0;2.7;2.05;3.2;3.1;2.2;3.2;2.8;2006
60;2005-10-02;Villarreal;Ath Bilbao;3;1;H;1;1;D;19;10;6;5;11;15;7;2;3;3;0;1;1.83;3.3;4.33;1.8;3.3;4.1;1.75;3.2;4.3;1.8;3.1;4.0;1.8;3.2;4.0;2006
61;2005-10-15;Alaves;Villarreal;1;1;D;1;1;D;12;9;4;4;16;18;12;2;2;5;0;0;2.62;3.2;2.37;2.85;3.0;2.4;2.8;3.0;2.4;2.62;3.1;2.37;2.6;3.1;2.35;2006
62;2005-10-15;Ath Madrid;Real Madrid;0;3;A;0;1;A;15;14;3;7;16;16;7;5;5;2;1;0;3.0;3.25;2.1;3.25;3.25;2.05;3.3;3.1;2.1;3.0;3.1;2.15;3.0;3.2;2.1;2006
63;2005-10-15;La Coruna;Barcelona;3;3;D;1;2;A;9;13;4;6;19;18;2;3;4;4;0;0;3.0;3.25;2.1;3.75;3.25;1.9;3.3;3.1;2.1;3.1;3.1;2.1;3.25;3.25;2.0;2006
64;2005-10-16;Ath Bilbao;Sevilla;0;1;A;0;1;A;21;10;3;3;9;17;6;3;1;2;1;0;2.2;3.25;2.8;2.1;3.1;3.3;2.1;3.0;3.1;2.05;3.1;3.2;2.1;3.2;3.0;2006
